infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
abstellen	stelle ab	stellst ab	stellt ab	stellen ab	stellt ab	stellen ab	stellte ab	stelltest ab	stellte ab	stellten ab	stelltet ab	stellten ab	abgestellt	stell ab	stellt ab
abstempeln	stemple ab	stempelst ab	stempelt ab	stempeln ab	stempelt ab	stempeln ab	stempelte ab	stempeltest ab	stempelte ab	stempelten ab	stempeltet ab	stempelten ab	abgestempelt	stemple ab	stempelt ab
absterben	sterbe ab	stirbst ab	stirbt ab	sterben ab	sterbt ab	sterben ab	starb ab	starbst ab	starb ab	starben ab	starbt ab	starben ab	abgestorben	stirb ab	sterbt ab
abstillen	stille ab	stillst ab	stillt ab	stillen ab	stillt ab	stillen ab	stillte ab	stilltest ab	stillte ab	stillten ab	stilltet ab	stillten ab	abgestillt	stille ab	stillt ab
abstimmen	stimm ab	stimmst ab	stimmt ab	stimmen ab	stimmt ab	stimmen ab	stimmte ab	stimmtest ab	stimmte ab	stimmten ab	stimmtet ab	stimmten ab	abgestimmt	stimm ab	stimmt ab
abstottern	stotter ab	stotterst ab	stottert ab	stottern ab	stottert ab	stottern ab	stotterte ab	stottertest ab	stotterte ab	stotterten ab	stottertet ab	stotterten ab	abgestottert	stotter ab	stottert ab
abstoßen	stoße ab	stößt ab	stößt ab	stoßen ab	stoßt ab	stoßen ab	stieß ab	stießest ab	stieß ab	stießen ab	stießt ab	stießen ab	abgestoßen	stoße ab	stoßt ab
abstrafen	strafe ab	strafst ab	straft ab	strafen ab	straft ab	strafen ab	strafte ab	straftest ab	strafte ab	straften ab	straftet ab	straften ab	abgestraft	straf ab	straft ab
abstrahieren	abstrahiere	abstrahierst	abstrahiert	abstrahieren	abstrahiert	abstrahieren	abstrahierte	abstrahiertest	abstrahierte	abstrahierten	abstrahiertet	abstrahierten	abstrahiert	abstrahiere	abstrahiert
abstrahlen	strahle ab	strahlst ab	strahlt ab	strahlen ab	strahlt ab	strahlen ab	strahlte ab	strahltest ab	strahlte ab	strahlten ab	strahltet ab	strahlten ab	abgestrahlt	strahl ab	strahlt ab
abstreifen	streife ab	streifst ab	streift ab	streifen ab	streift ab	streifen ab	streifte ab	streiftest ab	streifte ab	streiften ab	streiftet ab	streiften ab	abgestreift	streif ab	streift ab
abstreiten	streite ab	streitest ab	streitet ab	streiten ab	streitet ab	streiten ab	stritt ab	strittest ab	stritt ab	stritten ab	strittet ab	stritten ab	abgestritten	streite ab	streitet ab
abströmen	ström ab	strömst ab	strömt ab	strömen ab	strömt ab	strömen ab	strömte ab	strömtest ab	strömte ab	strömten ab	strömtet ab	strömten ab	abgeströmt	ström ab	strömt ab
abstufen	stufe ab	stufst ab	stuft ab	stufen ab	stuft ab	stufen ab	stufte ab	stuftest ab	stufte ab	stuften ab	stuftet ab	stuften ab	abgestuft	stuf ab	stuft ab
abstumpfen	stumpfe ab	stumpfst ab	stumpft ab	stumpfen ab	stumpft ab	stumpfen ab	stumpfte ab	stumpftest ab	stumpfte ab	stumpften ab	stumpftet ab	stumpften ab	abgestumpft	stumpfe ab	stumpft ab
abstürzen	stürze ab	stürzt ab	stürzt ab	stürzen ab	stürzt ab	stürzen ab	stürzte ab	stürztest ab	stürzte ab	stürzten ab	stürztet ab	stürzten ab	abgestürzt	stürz ab	stürzt ab
abstützen	stütze ab	stützt ab	stützt ab	stützen ab	stützt ab	stützen ab	stützte ab	stütztest ab	stützte ab	stützten ab	stütztet ab	stützten ab	abgestützt	stütze ab	stützt ab
absuchen	suche ab	suchst ab	sucht ab	suchen ab	sucht ab	suchen ab	suchte ab	suchtest ab	suchte ab	suchten ab	suchtet ab	suchten ab	abgesucht	such ab	sucht ab
absägen	säge ab	sägst ab	sägt ab	sägen ab	sägt ab	sägen ab	sägte ab	sägtest ab	sägte ab	sägten ab	sägtet ab	sägten ab	abgesägt	säg ab	sägt ab
abtakeln	takle ab	takelst ab	takelt ab	takeln ab	takelt ab	takeln ab	takelte ab	takeltest ab	takelte ab	takelten ab	takeltet ab	takelten ab	abgetakelt	takel ab	takelt ab
abtasten	taste ab	tastest ab	tastet ab	tasten ab	tastet ab	tasten ab	tastete ab	tastetest ab	tastete ab	tasteten ab	tastetet ab	tasteten ab	abgetastet	tast ab	tastet ab
abtauchen	tauche ab	tauchst ab	taucht ab	tauchen ab	taucht ab	tauchen ab	tauchte ab	tauchtest ab	tauchte ab	tauchten ab	tauchtet ab	tauchten ab	abgetaucht	tauch ab	taucht ab
abtauen	taue ab	taust ab	taut ab	tauen ab	taut ab	tauen ab	taute ab	tautest ab	taute ab	tauten ab	tautet ab	tauten ab	abgetaut	tau ab	taut ab
abtauschen	tausche ab	tauschst ab	tauscht ab	tauschen ab	tauscht ab	tauschen ab	tauschte ab	tauschtest ab	tauschte ab	tauschten ab	tauschtet ab	tauschten ab	abgetauscht	tausch ab	tauscht ab
abteilen	teile ab	teilst ab	teilt ab	teilen ab	teilt ab	teilen ab	teilte ab	teiltest ab	teilte ab	teilten ab	teiltet ab	teilten ab	abgeteilt	teil ab	teilt ab
abtelefonieren	telefoniere ab	telefonierst ab	telefoniert ab	telefonieren ab	telefoniert ab	telefonieren ab	telefonierte ab	telefoniertest ab	telefonierte ab	telefonierten ab	telefoniertet ab	telefonierten ab	abtelefoniert	telefoniere ab	telefoniert ab
abteufen	teufe ab	teufst ab	teuft ab	teufen ab	teuft ab	teufen ab	teufte ab	teuftest ab	teufte ab	teuften ab	teuftet ab	teuften ab	abgeteuft	teuf ab	teuft ab
abtippen	tippe ab	tippst ab	tippt ab	tippen ab	tippt ab	tippen ab	tippte ab	tipptest ab	tippte ab	tippten ab	tipptet ab	tippten ab	abgetippt	tipp ab	tippt ab
abtragen	trage ab	trägst ab	trägt ab	tragen ab	tragt ab	tragen ab	trug ab	trugst ab	trug ab	trugen ab	trugt ab	trugen ab	abgetragen	trag ab	tragt ab
abtransportieren	transportiere ab	transportierst ab	transportiert ab	transportieren ab	transportiert ab	transportieren ab	transportierte ab	transportiertest ab	transportierte ab	transportierten ab	transportiertet ab	transportierten ab	abtransportiert	transportiere ab	transportiert ab
abtreiben	treibe ab	treibst ab	treibt ab	treiben ab	treibt ab	treiben ab	trieb ab	triebst ab	trieb ab	trieben ab	triebt ab	trieben ab	abgetrieben	treibe ab	treibt ab
abtrennen	trenn ab	trennst ab	trennt ab	trennen ab	trennt ab	trennen ab	trennte ab	trenntest ab	trennte ab	trennten ab	trenntet ab	trennten ab	abgetrennt	trenn ab	trennt ab
abtreten	trete ab	trittst ab	tritt ab	treten ab	tretet ab	treten ab	trat ab	tratest ab	trat ab	traten ab	tratet ab	traten ab	abgetreten	tritt ab	tretet ab
abtrocknen	trockne ab	trocknest ab	trocknet ab	trocknen ab	trocknet ab	trocknen ab	trocknete ab	trocknetest ab	trocknete ab	trockneten ab	trocknetet ab	trockneten ab	abgetrocknet	trockne ab	trocknet ab
abtropfen	tropfe ab	tropfst ab	tropft ab	tropfen ab	tropft ab	tropfen ab	tropfte ab	tropftest ab	tropfte ab	tropften ab	tropftet ab	tropften ab	abgetropft	tropfe ab	tropft ab
abtrotzen	trotze ab	trotzt ab	trotzt ab	trotzen ab	trotzt ab	trotzen ab	trotzte ab	trotztest ab	trotzte ab	trotzten ab	trotztet ab	trotzten ab	abgetrotzt	trotz ab	trotzt ab
abtun	tue ab	tust ab	tut ab	tun ab	tut ab	tun ab	tat ab	tatest ab	tat ab	taten ab	tatet ab	taten ab	abgetan	tu ab	tut ab
abtupfen	tupfe ab	tupfst ab	tupft ab	tupfen ab	tupft ab	tupfen ab	tupfte ab	tupftest ab	tupfte ab	tupften ab	tupftet ab	tupften ab	abgetupft	tupfe ab	tupft ab
abtörnen	törn ab	törnst ab	törnt ab	törnen ab	törnt ab	törnen ab	törnte ab	törntest ab	törnte ab	törnten ab	törntet ab	törnten ab	abgetörnt	törn ab	törnt ab
abtöten	töte ab	tötest ab	tötet ab	töten ab	tötet ab	töten ab	tötete ab	tötetest ab	tötete ab	töteten ab	tötetet ab	töteten ab	abgetötet	töte ab	tötet ab
abtüten	tüte ab	tütest ab	tütet ab	tüten ab	tütet ab	tüten ab	tütete ab	tütetest ab	tütete ab	tüteten ab	tütetet ab	tüteten ab	abgetütet	tüt ab	tütet ab
aburteilen	urteile ab	urteilst ab	urteilt ab	urteilen ab	urteilt ab	urteilen ab	urteilte ab	urteiltest ab	urteilte ab	urteilten ab	urteiltet ab	urteilten ab	abgeurteilt	urteil ab	urteilt ab
abverkaufen	verkaufe ab	verkaufst ab	verkauft ab	verkaufen ab	verkauft ab	verkaufen ab	verkaufte ab	verkauftest ab	verkaufte ab	verkauften ab	verkauftet ab	verkauften ab	abverkauft	verkauf ab	verkauft ab
abverlangen	verlange ab	verlangst ab	verlangt ab	verlangen ab	verlangt ab	verlangen ab	verlangte ab	verlangtest ab	verlangte ab	verlangten ab	verlangtet ab	verlangten ab	abverlangt	verlang ab	verlangt ab
abwandeln	wandle ab	wandelst ab	wandelt ab	wandeln ab	wandelt ab	wandeln ab	wandelte ab	wandeltest ab	wandelte ab	wandelten ab	wandeltet ab	wandelten ab	abgewandelt	wandel ab	wandelt ab
abwandern	wander ab	wanderst ab	wandert ab	wandern ab	wandert ab	wandern ab	wanderte ab	wandertest ab	wanderte ab	wanderten ab	wandertet ab	wanderten ab	abgewandert	wandere ab	wandert ab
abwarten	warte ab	wartest ab	wartet ab	warten ab	wartet ab	warten ab	wartete ab	wartetest ab	wartete ab	warteten ab	wartetet ab	warteten ab	abgewartet	wart ab	wartet ab
abwaschen	wasche ab	wäschst ab	wäscht ab	waschen ab	wascht ab	waschen ab	wusch ab	wuschst ab	wusch ab	wuschen ab	wuscht ab	wuschen ab	abgewaschen	wasch ab	wascht ab
abwechseln	wechsle ab	wechselst ab	wechselt ab	wechseln ab	wechselt ab	wechseln ab	wechselte ab	wechseltest ab	wechselte ab	wechselten ab	wechseltet ab	wechselten ab	abgewechselt	wechsel ab	wechselt ab
abwehren	wehre ab	wehrst ab	wehrt ab	wehren ab	wehrt ab	wehren ab	wehrte ab	wehrtest ab	wehrte ab	wehrten ab	wehrtet ab	wehrten ab	abgewehrt	wehr ab	wehrt ab
abweichen	weiche ab	weichst ab	weicht ab	weichen ab	weicht ab	weichen ab	wich ab	wichst ab	wich ab	wichen ab	wicht ab	wichen ab	abgewichen	weich ab	weicht ab
abweiden	weide ab	weidest ab	weidet ab	weiden ab	weidet ab	weiden ab	weidete ab	weidetest ab	weidete ab	weideten ab	weidetet ab	weideten ab	abgeweidet	weid ab	weidet ab
abweisen	weise ab	weist ab	weist ab	weisen ab	weist ab	weisen ab	wies ab	wiesest ab	wies ab	wiesen ab	wiest ab	wiesen ab	abgewiesen	weise ab	weist ab
abwenden	wende ab	wendest ab	wendet ab	wenden ab	wendet ab	wenden ab	wandte ab	wandtest ab	wandte ab	wandten ab	wandtet ab	wandten ab	abgewendet	wende ab	wendet ab
abwerben	werbe ab	wirbst ab	wirbt ab	werben ab	werbt ab	werben ab	warb ab	warbst ab	warb ab	warben ab	warbt ab	warben ab	abgeworben	wirb ab	werbt ab
abwerfen	werfe ab	wirfst ab	wirft ab	werfen ab	werft ab	werfen ab	warf ab	warfst ab	warf ab	warfen ab	warft ab	warfen ab	abgeworfen	wirf ab	werft ab
abwerten	werte ab	wertest ab	wertet ab	werten ab	wertet ab	werten ab	wertete ab	wertetest ab	wertete ab	werteten ab	wertetet ab	werteten ab	abgewertet	wert ab	wertet ab
abwetzen	wetze ab	wetzt ab	wetzt ab	wetzen ab	wetzt ab	wetzen ab	wetzte ab	wetztest ab	wetzte ab	wetzten ab	wetztet ab	wetzten ab	abgewetzt	wetz ab	wetzt ab
abwickeln	wickle ab	wickelst ab	wickelt ab	wickeln ab	wickelt ab	wickeln ab	wickelte ab	wickeltest ab	wickelte ab	wickelten ab	wickeltet ab	wickelten ab	abgewickelt	wickle ab	wickelt ab
abwiegeln	wiegle ab	wiegelst ab	wiegelt ab	wiegeln ab	wiegelt ab	wiegeln ab	wiegelte ab	wiegeltest ab	wiegelte ab	wiegelten ab	wiegeltet ab	wiegelten ab	abgewiegelt	wiegle ab	wiegelt ab
abwiegen	wiege ab	wiegst ab	wiegt ab	wiegen ab	wiegt ab	wiegen ab	wog ab	wogst ab	wog ab	wogen ab	wogt ab	wogen ab	abgewogen	wieg ab	wiegt ab
abwimmeln	wimmle ab	wimmelst ab	wimmelt ab	wimmeln ab	wimmelt ab	wimmeln ab	wimmelte ab	wimmeltest ab	wimmelte ab	wimmelten ab	wimmeltet ab	wimmelten ab	abgewimmelt	wimmle ab	wimmelt ab
abwinkeln	winkle ab	winkelst ab	winkelt ab	winkeln ab	winkelt ab	winkeln ab	winkelte ab	winkeltest ab	winkelte ab	winkelten ab	winkeltet ab	winkelten ab	abgewinkelt	winkle ab	winkelt ab
abwinken	winke ab	winkst ab	winkt ab	winken ab	winkt ab	winken ab	winkte ab	winktest ab	winkte ab	winkten ab	winktet ab	winkten ab	abgewinkt	wink ab	winkt ab
abwischen	wische ab	wischst ab	wischt ab	wischen ab	wischt ab	wischen ab	wischte ab	wischtest ab	wischte ab	wischten ab	wischtet ab	wischten ab	abgewischt	wisch ab	wischt ab
abwohnen	wohn ab	wohnst ab	wohnt ab	wohnen ab	wohnt ab	wohnen ab	wohnte ab	wohntest ab	wohnte ab	wohnten ab	wohntet ab	wohnten ab	abgewohnt	wohn ab	wohnt ab
abwracken	wracke ab	wrackst ab	wrackt ab	wracken ab	wrackt ab	wracken ab	wrackte ab	wracktest ab	wrackte ab	wrackten ab	wracktet ab	wrackten ab	abgewrackt	wrack ab	wrackt ab
abwägen	wäge ab	wägst ab	wägt ab	wägen ab	wägt ab	wägen ab	wog ab	wogst ab	wog ab	wogen ab	wogt ab	wogen ab	abgewogen	wäge ab	wägt ab
abwählen	wähle ab	wählst ab	wählt ab	wählen ab	wählt ab	wählen ab	wählte ab	wähltest ab	wählte ab	wählten ab	wähltet ab	wählten ab	abgewählt	wähl ab	wählt ab
abwälzen	wälze ab	wälzt ab	wälzt ab	wälzen ab	wälzt ab	wälzen ab	wälzte ab	wälztest ab	wälzte ab	wälzten ab	wälztet ab	wälzten ab	abgewälzt	wälz ab	wälzt ab
abwärtsfahren	fahre abwärts	fährst abwärts	fährt abwärts	fahren abwärts	fahrt abwärts	fahren abwärts	fuhr abwärts	fuhrst abwärts	fuhr abwärts	fuhren abwärts	fuhrt abwärts	fuhren abwärts	abwärtsgefahren	fahr abwärts	fahrt abwärts
abwärtssteigen	steige abwärts	steigst abwärts	steigt abwärts	steigen abwärts	steigt abwärts	steigen abwärts	stieg abwärts	stiegst abwärts	stieg abwärts	stiegen abwärts	stiegt abwärts	stiegen abwärts	abwärtsgestiegen	steig abwärts	steigt abwärts
abwürgen	würge ab	würgst ab	würgt ab	würgen ab	würgt ab	würgen ab	würgte ab	würgtest ab	würgte ab	würgten ab	würgtet ab	würgten ab	abgewürgt	würge ab	würgt ab
abzahlen	zahle ab	zahlst ab	zahlt ab	zahlen ab	zahlt ab	zahlen ab	zahlte ab	zahltest ab	zahlte ab	zahlten ab	zahltet ab	zahlten ab	abgezahlt	zahl ab	zahlt ab
abzapfen	zapfe ab	zapfst ab	zapft ab	zapfen ab	zapft ab	zapfen ab	zapfte ab	zapftest ab	zapfte ab	zapften ab	zapftet ab	zapften ab	abgezapft	zapf ab	zapft ab
abzeichnen	zeichne ab	zeichnest ab	zeichnet ab	zeichnen ab	zeichnet ab	zeichnen ab	zeichnete ab	zeichnetest ab	zeichnete ab	zeichneten ab	zeichnetet ab	zeichneten ab	abgezeichnet	zeichne ab	zeichnet ab
abziehen	ziehe ab	ziehst ab	zieht ab	ziehen ab	zieht ab	ziehen ab	zog ab	zogst ab	zog ab	zogen ab	zogt ab	zogen ab	abgezogen	ziehe ab	zieht ab
abzielen	ziele ab	zielst ab	zielt ab	zielen ab	zielt ab	zielen ab	zielte ab	zieltest ab	zielte ab	zielten ab	zieltet ab	zielten ab	abgezielt	ziele ab	zielt ab
abzirkeln	zirkle ab	zirkelst ab	zirkelt ab	zirkeln ab	zirkelt ab	zirkeln ab	zirkelte ab	zirkeltest ab	zirkelte ab	zirkelten ab	zirkeltet ab	zirkelten ab	abgezirkelt	zirkel ab	zirkelt ab
abzischen	zische ab	zischst ab	zischt ab	zischen ab	zischt ab	zischen ab	zischte ab	zischtest ab	zischte ab	zischten ab	zischtet ab	zischten ab	abgezischt	zische ab	zischt ab
abzocken	zocke ab	zockst ab	zockt ab	zocken ab	zockt ab	zocken ab	zockte ab	zocktest ab	zockte ab	zockten ab	zocktet ab	zockten ab	abgezockt	zocke ab	zockt ab
abzupfen	zupfe ab	zupfst ab	zupft ab	zupfen ab	zupft ab	zupfen ab	zupfte ab	zupftest ab	zupfte ab	zupften ab	zupftet ab	zupften ab	abgezupft	zupf ab	zupft ab
abzwacken	zwacke ab	zwackst ab	zwackt ab	zwacken ab	zwackt ab	zwacken ab	zwackte ab	zwacktest ab	zwackte ab	zwackten ab	zwacktet ab	zwackten ab	abgezwackt	zwack ab	zwackt ab
abzweigen	zweige ab	zweigst ab	zweigt ab	zweigen ab	zweigt ab	zweigen ab	zweigte ab	zweigtest ab	zweigte ab	zweigten ab	zweigtet ab	zweigten ab	abgezweigt	zweig ab	zweigt ab
abzwicken	zwicke ab	zwickst ab	zwickt ab	zwicken ab	zwickt ab	zwicken ab	zwickte ab	zwicktest ab	zwickte ab	zwickten ab	zwicktet ab	zwickten ab	abgezwickt	zwick ab	zwickt ab
abzwitschern	zwitscher ab	zwitscherst ab	zwitschert ab	zwitschern ab	zwitschert ab	zwitschern ab	zwitscherte ab	zwitschertest ab	zwitscherte ab	zwitscherten ab	zwitschertet ab	zwitscherten ab	abgezwitschert	zwitschere ab	zwitschert ab
abzählen	zähle ab	zählst ab	zählt ab	zählen ab	zählt ab	zählen ab	zählte ab	zähltest ab	zählte ab	zählten ab	zähltet ab	zählten ab	abgezählt	zähl ab	zählt ab
abzäumen	zäum ab	zäumst ab	zäumt ab	zäumen ab	zäumt ab	zäumen ab	zäumte ab	zäumtest ab	zäumte ab	zäumten ab	zäumtet ab	zäumten ab	abgezäumt	zäume ab	zäumt ab
abzäunen	zäun ab	zäunst ab	zäunt ab	zäunen ab	zäunt ab	zäunen ab	zäunte ab	zäuntest ab	zäunte ab	zäunten ab	zäuntet ab	zäunten ab	abgezäunt	zäune ab	zäunt ab
abächzen	ächze ab	ächzt ab	ächzt ab	ächzen ab	ächzt ab	ächzen ab	ächzte ab	ächztest ab	ächzte ab	ächzten ab	ächztet ab	ächzten ab	abgeächzt	ächz ab	ächzt ab
abälardisieren	abälardisiere	abälardisierst	abälardisiert	abälardisieren	abälardisiert	abälardisieren	abälardisierte	abälardisiertest	abälardisierte	abälardisierten	abälardisiertet	abälardisierten	abälardisiert	abälardisier	abälardisiert
abändern	änder ab	änderst ab	ändert ab	ändern ab	ändert ab	ändern ab	änderte ab	ändertest ab	änderte ab	änderten ab	ändertet ab	änderten ab	abgeändert	ändre ab	ändert ab
abängsten													abgeängstet	ängste ab	ängstet ab
abängstigen													abgeängstigt	ängstige ab	ängstigt ab
abäppeln	äpple ab	äppelst ab	äppelt ab	äppeln ab	äppelt ab	äppeln ab	äppelte ab	äppeltest ab	äppelte ab	äppelten ab	äppeltet ab	äppelten ab	abgeäppelt	äppel ab	äppelt ab
abärgern													abgeärgert	ärgere ab	ärgert ab
abäschern	äscher ab	äscherst ab	äschert ab	äschern ab	äschert ab	äschern ab	äscherte ab	äschertest ab	äscherte ab	äscherten ab	äschertet ab	äscherten ab	abgeäschert	äschere ab	äschert ab
abäsen			äst ab			äsen ab			äste ab			ästen ab	abgeäst		
abästen	äste ab	ästest ab	ästet ab	ästen ab	ästet ab	ästen ab	ästete ab	ästetest ab	ästete ab	ästeten ab	ästetet ab	ästeten ab	abgeästet	äst ab	ästet ab
abätmen	ätme ab	ätmest ab	ätmet ab	ätmen ab	ätmet ab	ätmen ab	ätmete ab	ätmetest ab	ätmete ab	ätmeten ab	ätmetet ab	ätmeten ab	abgeätmet	ätme ab	ätmet ab
abätzen	ätze ab	ätzt ab	ätzt ab	ätzen ab	ätzt ab	ätzen ab	ätzte ab	ätztest ab	ätzte ab	ätzten ab	ätztet ab	ätzten ab	abgeätzt	ätz ab	ätzt ab
abäugeln	äugle ab	äugelst ab	äugelt ab	äugeln ab	äugelt ab	äugeln ab	äugelte ab	äugeltest ab	äugelte ab	äugelten ab	äugeltet ab	äugelten ab	abgeäugelt	äugele ab	äugelt ab
abäußern	äußer ab	äußerst ab	äußert ab	äußern ab	äußert ab	äußern ab	äußerte ab	äußertest ab	äußerte ab	äußerten ab	äußertet ab	äußerten ab	abgeäußert	äußere ab	äußert ab
acetylieren	acetyliere	acetylierst	acetyliert	acetylieren	acetyliert	acetylieren	acetylierte	acetyliertest	acetylierte	acetylierten	acetyliertet	acetylierten	acetyliert	acetylier	acetyliert
acheln	achle	achelst	achelt	acheln	achelt	acheln	achelte	acheltest	achelte	achelten	acheltet	achelten	geachelt	achele	achelt
achteln	achtle	achtelst	achtelt	achteln	achtelt	achteln	achtelte	achteltest	achtelte	achtelten	achteltet	achtelten	geachtelt	achtle	achtelt
achten	achte	achtest	achtet	achten	achtet	achten	achtete	achtetest	achtete	achteten	achtetet	achteten	geachtet	achte	achtet
achtgeben	gebe acht	gibst acht	gibt acht	geben acht	gebt acht	geben acht	gab acht	gabst acht	gab acht	gaben acht	gabt acht	gaben acht	achtgegeben	gib acht	gebt acht
ackern	acker	ackerst	ackert	ackern	ackert	ackern	ackerte	ackertest	ackerte	ackerten	ackertet	ackerten	geackert	ackere	ackert
adaptieren	adaptiere	adaptierst	adaptiert	adaptieren	adaptiert	adaptieren	adaptierte	adaptiertest	adaptierte	adaptierten	adaptiertet	adaptierten	adaptiert	adaptier	adaptiert
adden	adde	addest	addet	adden	addet	adden	addete	addetest	addete	addeten	addetet	addeten	geaddet	adde	addet
addieren	addiere	addierst	addiert	addieren	addiert	addieren	addierte	addiertest	addierte	addierten	addiertet	addierten	addiert	addier	addiert
addizieren	addiziere	addizierst	addiziert	addizieren	addiziert	addizieren	addizierte	addiziertest	addizierte	addizierten	addiziertet	addizierten	addiziert	addizier	addiziert
adeln	adle	adelst	adelt	adeln	adelt	adeln	adelte	adeltest	adelte	adelten	adeltet	adelten	geadelt	adele	adelt
adern	ader	aderst	adert	adern	adert	adern	aderte	adertest	aderte	aderten	adertet	aderten	geadert	ader	adert
adhärieren	adhäriere	adhärierst	adhäriert	adhärieren	adhäriert	adhärieren	adhärierte	adhäriertest	adhärierte	adhärierten	adhäriertet	adhärierten	adhäriert	adhärier	adhäriert
adjektivieren	adjektiviere	adjektivierst	adjektiviert	adjektivieren	adjektiviert	adjektivieren	adjektivierte	adjektiviertest	adjektivierte	adjektivierten	adjektiviertet	adjektivierten	adjektiviert	adjektivier	adjektiviert
adjungieren	adjungiere	adjungierst	adjungiert	adjungieren	adjungiert	adjungieren	adjungierte	adjungiertest	adjungierte	adjungierten	adjungiertet	adjungierten	adjungiert	adjungiere	adjungiert
adjustieren	adjustiere	adjustierst	adjustiert	adjustieren	adjustiert	adjustieren	adjustierte	adjustiertest	adjustierte	adjustierten	adjustiertet	adjustierten	adjustiert	adjustier	adjustiert
