infinitiv	praes1	praes2	praes3	praes4	praes5	praes6	praet1	praet2	praet3	praet4	praet5	praet6	partizip2	imp_sg	imp_pl
wehklagen	wehklage	wehklagst	wehklagt	wehklagen	wehklagt	wehklagen	wehklagte	wehklagtest	wehklagte	wehklagten	wehklagtet	wehklagten	gewehklagt	wehklag	wehklagt
wehren													gewehrt	wehre	wehrt
wehtun	tue weh	tust weh	tut weh	tun weh	tut weh	tun weh	tat weh	tatest weh	tat weh	taten weh	tatet weh	taten weh	wehgetan	tu weh	tut weh
weibeln	weible	weibelst	weibelt	weibeln	weibelt	weibeln	weibelte	weibeltest	weibelte	weibelten	weibeltet	weibelten	geweibelt	weibel	weibelt
weiben	weibe	weibst	weibt	weiben	weibt	weiben	weibte	weibtest	weibte	weibten	weibtet	weibten	geweibt	weib	weibt
weichen	weiche	weichst	weicht	weichen	weicht	weichen	wich	wichst	wich	wichen	wicht	wichen	gewichen	weiche	weicht
weichklopfen	klopfe weich	klopfst weich	klopft weich	klopfen weich	klopft weich	klopfen weich	klopfte weich	klopftest weich	klopfte weich	klopften weich	klopftet weich	klopften weich	weichgeklopft	klopf weich	klopft weich
weichkochen	koche weich	kochst weich	kocht weich	kochen weich	kocht weich	kochen weich	kochte weich	kochtest weich	kochte weich	kochten weich	kochtet weich	kochten weich	weichgekocht	koch weich	kocht weich
weichspülen	spüle weich	spülst weich	spült weich	spülen weich	spült weich	spülen weich	spülte weich	spültest weich	spülte weich	spülten weich	spültet weich	spülten weich	weichgespült	spül weich	spült weich
weiden	weide	weidest	weidet	weiden	weidet	weiden	weidete	weidetest	weidete	weideten	weidetet	weideten	geweidet	weide	weidet
weifen	weife	weifst	weift	weifen	weift	weifen	weifte	weiftest	weifte	weiften	weiftet	weiften	geweift	weif	weift
weigern	weiger	weigerst	weigert	weigern	weigert	weigern	weigerte	weigertest	weigerte	weigerten	weigertet	weigerten	geweigert	weiger	weigert
weihen	weihe	weihst	weiht	weihen	weiht	weihen	weihte	weihtest	weihte	weihten	weihtet	weihten	geweiht	weihe	weiht
weihnachten			es weihnachtet						es weihnachtete				geweihnachtet		
weilen	weile	weilst	weilt	weilen	weilt	weilen	weilte	weiltest	weilte	weilten	weiltet	weilten	geweilt	weil	weilt
weinen	wein	weinst	weint	weinen	weint	weinen	weinte	weintest	weinte	weinten	weintet	weinten	geweint	weine	weint
weisen	weise	weist	weist	weisen	weist	weisen	wies	wiesest	wies	wiesen	wiest	wiesen	gewiesen	weis	weist
weismachen	mache weis	machst weis	macht weis	machen weis	macht weis	machen weis	machte weis	machtest weis	machte weis	machten weis	machtet weis	machten weis	weisgemacht	mach weis	macht weis
weissagen	weissage	weissagst	weissagt	weissagen	weissagt	weissagen	weissagte	weissagtest	weissagte	weissagten	weissagtet	weissagten	geweissagt	weissag	weissagt
weiten	weite	weitest	weitet	weiten	weitet	weiten	weitete	weitetest	weitete	weiteten	weitetet	weiteten	geweitet	weit	weitet
weiterarbeiten	arbeite weiter	arbeitest weiter	arbeitet weiter	arbeiten weiter	arbeitet weiter	arbeiten weiter	arbeitete weiter	arbeitetest weiter	arbeitete weiter	arbeiteten weiter	arbeitetet weiter	arbeiteten weiter	weitergearbeitet	arbeite weiter	arbeitet weiter
weiterbauen	baue weiter	baust weiter	baut weiter	bauen weiter	baut weiter	bauen weiter	baute weiter	bautest weiter	baute weiter	bauten weiter	bautet weiter	bauten weiter	weitergebaut	bau weiter	baut weiter
weiterbearbeiten	bearbeite weiter	bearbeitest weiter	bearbeitet weiter	bearbeiten weiter	bearbeitet weiter	bearbeiten weiter	bearbeitete weiter	bearbeitetest weiter	bearbeitete weiter	bearbeiteten weiter	bearbeitetet weiter	bearbeiteten weiter	weiterbearbeitet	bearbeite weiter	bearbeitet weiter
weiterbefördern	beförder weiter	beförderst weiter	befördert weiter	befördern weiter	befördert weiter	befördern weiter	beförderte weiter	befördertest weiter	beförderte weiter	beförderten weiter	befördertet weiter	beförderten weiter	weiterbefördert	beförder weiter	befördert weiter
weiterbehandeln	behandle weiter	behandelst weiter	behandelt weiter	behandeln weiter	behandelt weiter	behandeln weiter	behandelte weiter	behandeltest weiter	behandelte weiter	behandelten weiter	behandeltet weiter	behandelten weiter	weiterbehandelt	behandel weiter	behandelt weiter
weiterbelasten	belaste weiter	belastest weiter	belastet weiter	belasten weiter	belastet weiter	belasten weiter	belastete weiter	belastetest weiter	belastete weiter	belasteten weiter	belastetet weiter	belasteten weiter	weiterbelastet	belaste weiter	belastet weiter
weiterbeschäftigen	beschäftige weiter	beschäftigst weiter	beschäftigt weiter	beschäftigen weiter	beschäftigt weiter	beschäftigen weiter	beschäftigte weiter	beschäftigtest weiter	beschäftigte weiter	beschäftigten weiter	beschäftigtet weiter	beschäftigten weiter	weiterbeschäftigt	beschäftige weiter	beschäftigt weiter
weiterbestehen	bestehe weiter	bestehst weiter	besteht weiter	bestehen weiter	besteht weiter	bestehen weiter	bestand weiter	bestandest weiter	bestand weiter	bestanden weiter	bestandet weiter	bestanden weiter	weiterbestanden	besteh weiter	besteht weiter
weiterbeten	bete weiter	betest weiter	betet weiter	beten weiter	betet weiter	beten weiter	betete weiter	betetest weiter	betete weiter	beteten weiter	betetet weiter	beteten weiter	weitergebetet	bet weiter	betet weiter
weiterbewegen	bewege weiter	bewegst weiter	bewegt weiter	bewegen weiter	bewegt weiter	bewegen weiter	bewegte weiter	bewegtest weiter	bewegte weiter	bewegten weiter	bewegtet weiter	bewegten weiter	weiterbewegt	beweg weiter	bewegt weiter
weiterbilden	bilde weiter	bildest weiter	bildet weiter	bilden weiter	bildet weiter	bilden weiter	bildete weiter	bildetest weiter	bildete weiter	bildeten weiter	bildetet weiter	bildeten weiter	weitergebildet	bild weiter	bildet weiter
weiterbluten	blute weiter	blutest weiter	blutet weiter	bluten weiter	blutet weiter	bluten weiter	blutete weiter	blutetest weiter	blutete weiter	bluteten weiter	blutetet weiter	bluteten weiter	weitergeblutet	blut weiter	blutet weiter
weiterblättern	blätter weiter	blätterst weiter	blättert weiter	blättern weiter	blättert weiter	blättern weiter	blätterte weiter	blättertest weiter	blätterte weiter	blätterten weiter	blättertet weiter	blätterten weiter	weitergeblättert	blättere weiter	blättert weiter
weiterbohren	bohre weiter	bohrst weiter	bohrt weiter	bohren weiter	bohrt weiter	bohren weiter	bohrte weiter	bohrtest weiter	bohrte weiter	bohrten weiter	bohrtet weiter	bohrten weiter	weitergebohrt	bohr weiter	bohrt weiter
weiterbringen	bringe weiter	bringst weiter	bringt weiter	bringen weiter	bringt weiter	bringen weiter	brachte weiter	brachtest weiter	brachte weiter	brachten weiter	brachtet weiter	brachten weiter	weitergebracht	bring weiter	bringt weiter
weiterbumsen	bumse weiter	bumst weiter	bumst weiter	bumsen weiter	bumst weiter	bumsen weiter	bumste weiter	bumstest weiter	bumste weiter	bumsten weiter	bumstet weiter	bumsten weiter	weitergebumst	bums weiter	bumst weiter
