wort	genus	genitiv_singular	plural
Abendmahlstisch	m	Abendmahlstischs	Abendmahlstische
Abendmahlswein	m	Abendmahlsweines	Abendmahlsweine
Abendmahlwein	m	Abendmahlweins	Abendmahlweine
Abendmahlzeit	f	Abendmahlzeit	Abendmahlzeiten
Abendmantel	m	Abendmantels	Abendmäntel
Abendmarkt	m	Abendmarkts	Abendmärkte
Abendmaschine	f	Abendmaschine	Abendmaschinen
Abendmeeting	n	Abendmeetings	Abendmeetings
Abendmeldung	f	Abendmeldung	Abendmeldungen
Abendmelodie	f	Abendmelodie	Abendmelodien
Abendmenü	n	Abendmenüs	Abendmenüs
Abendmesse	f	Abendmesse	Abendmessen
Abendmode	f	Abendmode	Abendmoden
Abendmusik	f	Abendmusik	Abendmusiken
Abendnachricht	f	Abendnachricht	Abendnachrichten
Abendnachrichten			Abendnachrichten
Abendnebel	m	Abendnebels	Abendnebel
Abendoberschule	f	Abendoberschule	Abendoberschulen
Abendpause	f	Abendpause	Abendpausen
Abendpfauenauge	n	Abendpfauenauges	Abendpfauenaugen
Abendpfeife	f	Abendpfeife	Abendpfeifen
Abendpost	f	Abendpost	Abendposten
Abendpresse	f	Abendpresse	
Abendprobe	f	Abendprobe	Abendproben
Abendprogramm	n	Abendprogrammes	Abendprogramme
Abendpunkt	m	Abendpunktes	Abendpunkte
Abendrealschule	f	Abendrealschule	Abendrealschulen
Abendregen	m	Abendregens	Abendregen
Abendrobe	f	Abendrobe	Abendroben
Abendrot	n	Abendrots	
Abendroutine	f	Abendroutine	Abendroutinen
Abendruhe	f	Abendruhe	
Abendrunde	f	Abendrunde	Abendrunden
Abendrundgang	m	Abendrundgangs	Abendrundgänge
Abendröte	f	Abendröte	
Abendschau	f	Abendschau	Abendschauen
Abendschein	m	Abendscheins	
Abendschicht	f	Abendschicht	Abendschichten
Abendschimmer	m	Abendschimmers	
Abendschnellzug	m	Abendschnellzugs	Abendschnellzüge
Abendschoppen	m	Abendschoppens	Abendschoppen
Abendschuh	m	Abendschuhs	Abendschuhe
Abendschule	f	Abendschule	Abendschulen
Abendschüler	m	Abendschülers	Abendschüler
Abendschülerin	f	Abendschülerin	Abendschülerinnen
Abendsegen	m	Abendsegens	Abendsegen
Abendsegler	m	Abendseglers	Abendsegler
Abendseite	f	Abendseite	Abendseiten
Abendseminar	n	Abendseminars	Abendseminare
Abendsendung	f	Abendsendung	Abendsendungen
Abendshow	f	Abendshow	Abendshows
Abendsitzung	f	Abendsitzung	Abendsitzungen
Abendsonne	f	Abendsonne	
Abendsonnenschein	m	Abendsonnenscheines	
Abendspaziergang	m	Abendspaziergangs	Abendspaziergänge
Abendspiel	n	Abendspieles	Abendspiele
Abendspielplan	m	Abendspielplanes	Abendspielpläne
Abendspitze	f	Abendspitze	Abendspitzen
Abendsport	m	Abendsportes	
Abendsportfest	n	Abendsportfestes	Abendsportfeste
Abendsprechstunde	f	Abendsprechstunde	Abendsprechstunden
Abendstern	m	Abendsterns	
Abendstille	f	Abendstille	
Abendstimmung	f	Abendstimmung	Abendstimmungen
Abendstudio	n	Abendstudios	Abendstudios
Abendstudium	n	Abendstudiums	Abendstudien
Abendstunde	f	Abendstunde	Abendstunden
Abendstück	n	Abendstückes	Abendstücke
Abendsuppe	f	Abendsuppe	Abendsuppen
Abendtafel	f	Abendtafel	Abendtafeln
Abendtarif	m	Abendtarifes	Abendtarife
Abendtasche	f	Abendtasche	Abendtaschen
Abendtee	m	Abendtees	Abendtees
Abendtemperatur	f	Abendtemperatur	Abendtemperaturen
Abendtermin	m	Abendtermines	Abendtermine
Abendthema	n	Abendthemas	Abendthemen
Abendthermik	f	Abendthermik	
Abendtisch	m	Abendtisches	Abendtische
Abendtoilette	f	Abendtoilette	Abendtoiletten
Abendtrunk	m	Abendtrunkes	Abendtrünke
Abendtäschchen	n	Abendtäschchens	Abendtäschchen
Abendumhang	m	Abendumhanges	Abendumhänge
Abenduniversität	f	Abenduniversität	Abenduniversitäten
Abendunterhaltung	f	Abendunterhaltung	Abendunterhaltungen
Abendunterricht	m	Abendunterrichtes	Abendunterrichte
Abendveranstaltung	f	Abendveranstaltung	Abendveranstaltungen
Abendvergnügen	n	Abendvergnügens	Abendvergnügen
Abendverkauf	m	Abendverkaufes	Abendverkäufe
Abendverkehr	m	Abendverkehres	
Abendvisite	f	Abendvisite	Abendvisiten
Abendvorlesung	f	Abendvorlesung	Abendvorlesungen
Abendvorstellung	f	Abendvorstellung	Abendvorstellungen
Abendvortrag	m	Abendvortrages	Abendvorträge
Abendwanderung	f	Abendwanderung	Abendwanderungen
Abendweite	f	Abendweite	Abendweiten
Abendwind	m	Abendwindes	Abendwinde
Abendwolke	f	Abendwolke	Abendwolken
Abendzeit	f	Abendzeit	Abendzeiten
Abendzeitung	f	Abendzeitung	Abendzeitungen
Abendzirkel	m	Abendzirkels	Abendzirkel
Abendzug	m	Abendzuges	Abendzüge
Abendzusammenfassung	f	Abendzusammenfassung	Abendzusammenfassungen
Abendöffnung	f	Abendöffnung	Abendöffnungen
Abenomics	f	Abenomics	Abenomics
Abenteuer	n	Abenteuers	Abenteuer
Abenteuerbecken	n	Abenteuerbeckens	Abenteuerbecken
Abenteuerbedürfnis	n	Abenteuerbedürfnisses	Abenteuerbedürfnisse
Abenteuerbericht	m	Abenteuerberichtes	Abenteuerberichte
Abenteuerbuch	n	Abenteuerbuches	Abenteuerbücher
Abenteuerdrang	m	Abenteuerdranges	
Abenteuerdurst	m	Abenteuerdurstes	
Abenteuerer	m	Abenteuerers	Abenteuerer
Abenteuererzählung	f	Abenteuererzählung	Abenteuererzählungen
Abenteuerfahrt	f	Abenteuerfahrt	Abenteuerfahrten
Abenteuerfieber	n	Abenteuerfiebers	
Abenteuerfilm	m	Abenteuerfilmes	Abenteuerfilme
Abenteuergeist	m	Abenteuergeistes	
Abenteuergelüst	n	Abenteuergelüstes	Abenteuergelüste
Abenteuergelüste	n	Abenteuergelüstes	Abenteuergelüste
Abenteuergeschichte	f	Abenteuergeschichte	Abenteuergeschichten
Abenteuerheft	n	Abenteuerheftes	Abenteuerhefte
Abenteuerhunger	m	Abenteuerhungers	
Abenteuerin	f	Abenteuerin	Abenteuerinnen
Abenteuerkino	n	Abenteuerkinos	Abenteuerkinos
Abenteuerkomödie	f	Abenteuerkomödie	Abenteuerkomödien
Abenteuerland	n	Abenteuerlandes	Abenteuerländer
Abenteuerlaune	f	Abenteuerlaune	
Abenteuerleben	n	Abenteuerlebens	Abenteuerleben
Abenteuerlichkeit	f	Abenteuerlichkeit	Abenteuerlichkeiten
Abenteuerliteratur	f	Abenteuerliteratur	
Abenteuerlust	f	Abenteuerlust	
Abenteuernatur	f	Abenteuernatur	Abenteuernaturen
Abenteuerpark	m	Abenteuerparks	Abenteuerparks
Abenteuerpolitik	f	Abenteuerpolitik	
Abenteuerreise	f	Abenteuerreise	Abenteuerreisen
Abenteuerroman	m	Abenteuerromans	Abenteuerromane
Abenteuerromantik	f	Abenteuerromantik	
Abenteuerserie	f	Abenteuerserie	Abenteuerserien
Abenteuerspiel	n	Abenteuerspiels	Abenteuerspiele
Abenteuerspielplatz	m	Abenteuerspielplatzes	Abenteuerspielplätze
Abenteuersport	m	Abenteuersports	
Abenteuerstory	f	Abenteuerstory	Abenteuerstorys
Abenteuerstreifen	m	Abenteuerstreifens	Abenteuerstreifen
Abenteuersuche	f	Abenteuersuche	Abenteuersuchen
Abenteuersucht	f	Abenteuersucht	
Abenteuertour	f	Abenteuertour	Abenteuertouren
Abenteuertourismus	m	Abenteuertourismus	
Abenteuertourist	m	Abenteuertouristen	Abenteuertouristen
Abenteuertrip	m	Abenteuertrips	Abenteuertrips
Abenteuertum	n	Abenteuertums	
Abenteuerurlaub	m	Abenteuerurlaubes	Abenteuerurlaube
Abenteuerurlauber	m	Abenteuerurlaubers	Abenteuerurlauber
Abenteurer	m	Abenteurers	Abenteurer
Abenteurerbuch	n	Abenteurerbuches	Abenteurerbücher
Abenteurerfahrt	f	Abenteurerfahrt	Abenteurerfahrten
Abenteurerfilm	m	Abenteurerfilmes	Abenteurerfilme
Abenteurergeist	m	Abenteurergeistes	
Abenteurergeschichte	f	Abenteurergeschichte	Abenteurergeschichten
Abenteurerin	f	Abenteurerin	Abenteurerinnen
Abenteurerleben	n	Abenteurerlebens	Abenteurerleben
Abenteurerliteratur	f	Abenteurerliteratur	
Abenteurernatur	f	Abenteurernatur	Abenteurernaturen
Abenteurerpolitik	f	Abenteurerpolitik	
Abenteurerroman	m	Abenteurerromans	Abenteurerromane
Abenteurerromantik	f	Abenteurerromantik	
Abenteurertum	n	Abenteurertums	
Aber	n	Aber	Aber
Aberacht	f	Aberacht	
Aberchen	n	Aberchens	Aberchen
Aberdeener	m	Aberdeeners	Aberdeener
Aberdeenrind	n	Aberdeenrindes	Aberdeenrinder
Aberdepot	n	Aberdepots	Aberdepots
Abergeldie	n	des Abergeldie	
Aberglaube	m	Aberglaubens	Aberglauben
Aberglauben	m	Aberglaubens	
Aberhunderte			Aberhunderte
Aberkennung	f	Aberkennung	Aberkennungen
Abermillionen			Abermillionen
Aberratio	f	Aberratio	Aberrationes
Aberratio testis	f	Aberratio testis	Aberrationes testis
Aberration	f	Aberration	Aberrationen
Aberrationskonstante	f	Aberrationskonstante	Aberrationskonstanten
Aberrationszeit	f	Aberrationszeit	Aberrationszeiten
Aberraute	f	Aberraute	Aberrauten
Aberrometer	n	Aberrometers	Aberrometer
Abersinn	m	Abersinnes	
Aberwitz	m	Aberwitzes	
Abessinien	n	Abessiniens	
Abessinier	m	Abessiniers	Abessinier
Abessinierbrunnen	m	Abessinierbrunnens	Abessinierbrunnen
Abessinierin	f	Abessinierin	Abessinierinnen
Abessinierkatze	f	Abessinierkatze	Abessinierkatzen
Abessiv	m	Abessivs	Abessive
Abfackelung	f	Abfackelung	Abfackelungen
Abfacklung	f	Abfacklung	Abfacklungen
Abfahrauftraggeber	m	Abfahrauftraggebers	Abfahrauftraggeber
Abfahrer	m	Abfahrers	Abfahrer
Abfahrerin	f	Abfahrerin	Abfahrerinnen
Abfahrt	f	Abfahrt	Abfahrten
Abfahrtbefehl	m	Abfahrtbefehles	Abfahrtbefehle
Abfahrtgleis	n	Abfahrtgleises	Abfahrtgleise
Abfahrtsbefehl	m	Abfahrtsbefehles	Abfahrtsbefehle
Abfahrtsdatum	n	Abfahrtsdatums	Abfahrtsdaten
Abfahrtsgleis	n	Abfahrtsgleises	Abfahrtsgleise
Abfahrtshang	m	Abfahrtshangs	Abfahrtshänge
Abfahrtslauf	m	Abfahrtslaufs	Abfahrtsläufe
Abfahrtsläufer	m	Abfahrtsläufers	Abfahrtsläufer
Abfahrtsläuferin	f	Abfahrtsläuferin	Abfahrtsläuferinnen
Abfahrtsmöglichkeit	f	Abfahrtsmöglichkeit	Abfahrtsmöglichkeiten
Abfahrtsort	m	Abfahrtsortes	Abfahrtsorte
Abfahrtspiste	f	Abfahrtspiste	Abfahrtspisten
Abfahrtsplan	m	Abfahrtsplans	Abfahrtspläne
Abfahrtsrampe	f	Abfahrtsrampe	Abfahrtsrampen
Abfahrtsrennen	n	Abfahrtsrennens	Abfahrtsrennen
Abfahrtsschi	m	Abfahrtsschis	Abfahrtsschi
Abfahrtssieg	m	Abfahrtssiegs	Abfahrtssiege
Abfahrtssieger	m	Abfahrtssiegers	Abfahrtssieger
Abfahrtssiegerin	f	Abfahrtssiegerin	Abfahrtssiegerinnen
Abfahrtssignal	n	Abfahrtssignals	Abfahrtssignale
Abfahrtsski	m	Abfahrtsskis	Abfahrtsski
Abfahrtsstelle	f	Abfahrtsstelle	Abfahrtsstellen
Abfahrtsstrecke	f	Abfahrtsstrecke	Abfahrtsstrecken
Abfahrtstafel	f	Abfahrtstafel	Abfahrtstafeln
Abfahrtstag	m	Abfahrtstags	Abfahrtstage
Abfahrtsteam	n	Abfahrtsteams	Abfahrtsteams
Abfahrtstechnik	f	Abfahrtstechnik	Abfahrtstechniken
Abfahrtstermin	m	Abfahrtstermines	Abfahrtstermine
Abfahrtstrainer	m	Abfahrtstrainers	Abfahrtstrainer
Abfahrtstrainerin	f	Abfahrtstrainerin	Abfahrtstrainerinnen
Abfahrtstraining	n	Abfahrtstrainings	Abfahrtstrainings
Abfahrtsweg	m	Abfahrtsweges	Abfahrtswege
Abfahrtsweltcup	m	Abfahrtsweltcups	Abfahrtsweltcups
Abfahrtsweltmeister	m	Abfahrtsweltmeisters	Abfahrtsweltmeister
Abfahrtsweltmeisterin	f	Abfahrtsweltmeisterin	Abfahrtsweltmeisterinnen
Abfahrtszeichen	n	Abfahrtszeichens	Abfahrtszeichen
Abfahrtszeit	f	Abfahrtszeit	Abfahrtszeiten
Abfahrttermin	m	Abfahrttermines	Abfahrttermine
Abfahrtzeichen	n	Abfahrtzeichens	Abfahrtzeichen
Abfall	m	Abfalls	Abfälle
Abfallabgabe	f	Abfallabgabe	Abfallabgaben
Abfallablagerung	f	Abfallablagerung	Abfallablagerungen
Abfallamt	n	Abfallamtes	Abfallämter
Abfallanlage	f	Abfallanlage	Abfallanlagen
Abfallart	f	Abfallart	Abfallarten
Abfallaufbereitung	f	Abfallaufbereitung	Abfallaufbereitungen
Abfallaufkommen	n	Abfallaufkommens	Abfallaufkommen
Abfallbeauftragter	m	Abfallbeauftragten	Abfallbeauftragte
Abfallbehandlung	f	Abfallbehandlung	Abfallbehandlungen
Abfallbehandlungsanlage	f	Abfallbehandlungsanlage	Abfallbehandlungsanlagen
Abfallbehälter	m	Abfallbehälters	Abfallbehälter
Abfallbehörde	f	Abfallbehörde	Abfallbehörden
Abfallberater	m	Abfallberaters	Abfallberater
Abfallberaterin	f	Abfallberaterin	Abfallberaterinnen
Abfallberatung	f	Abfallberatung	Abfallberatungen
Abfallbereich		Abfallbereiches	Abfallbereiche
Abfallberg	m	Abfallbergs	Abfallberge
Abfallbeseitiger	m	Abfallbeseitigers	Abfallbeseitiger
Abfallbeseitigung	f	Abfallbeseitigung	Abfallbeseitigungen
Abfallbeseitigungsanlage	f	Abfallbeseitigungsanlage	Abfallbeseitigungsanlagen
Abfallbeseitigungsfirma	f	Abfallbeseitigungsfirma	Abfallbeseitigungsfirmen
Abfallbeseitigungsgebühr	f	Abfallbeseitigungsgebühr	Abfallbeseitigungsgebühren
Abfallbeseitigungsgesellschaft	f	Abfallbeseitigungsgesellschaft	Abfallbeseitigungsgesellschaften
Abfallbeseitigungsgesetz	n	Abfallbeseitigungsgesetzes	Abfallbeseitigungsgesetze
Abfallbeseitigungskonzept	n	Abfallbeseitigungskonzeptes	Abfallbeseitigungskonzepte
Abfallbetrieb	m	Abfallbetriebes	Abfallbetriebe
Abfallbewirtschaftung	f	Abfallbewirtschaftung	
Abfallbilanz	f	Abfallbilanz	Abfallbilanzen
Abfallbörse	f	Abfallbörse	Abfallbörsen
Abfallcontainer	m	Abfallcontainers	Abfallcontainer
Abfalldeponie	f	Abfalldeponie	Abfalldeponien
Abfalldezernent	m	Abfalldezernenten	Abfalldezernenten
Abfalleimer	m	Abfalleimers	Abfalleimer
Abfallenergie	f	Abfallenergie	Abfallenergien
Abfallentsorger	m	Abfallentsorgers	Abfallentsorger
Abfallentsorgung	f	Abfallentsorgung	
Abfallentsorgungsanlage	f	Abfallentsorgungsanlage	Abfallentsorgungsanlagen
Abfallentsorgungsplan	m	Abfallentsorgungsplanes	Abfallentsorgungspläne
Abfallentsorgungssystem	n	Abfallentsorgungssystems	Abfallentsorgungssysteme
Abfallentsorgungszentrum	n	Abfallentsorgungszentrums	Abfallentsorgungszentren
Abfaller	m	Abfallers	Abfaller
Abfallerzeuger	m	Abfallerzeugers	Abfallerzeuger
Abfallerzeugnis	n	Abfallerzeugnisses	Abfallerzeugnisse
Abfallexperte	m	Abfallexperten	Abfallexperten
Abfallexpertin	f	Abfallexpertin	Abfallexpertinnen
Abfallexport	m	Abfallexportes	Abfallexporte
Abfallfibel	f	Abfallfibel	Abfallfibeln
Abfallfirma	f	Abfallfirma	Abfallfirmen
Abfallflut	f	Abfallflut	Abfallfluten
Abfallfraktion	f	Abfallfraktion	Abfallfraktionen
Abfallgebinde	n	Abfallgebindes	Abfallgebinde
Abfallgebühr	f	Abfallgebühr	Abfallgebühren
Abfallgefäß	n	Abfallgefäßes	Abfallgefäße
Abfallgeruch	m	Abfallgeruchs	Abfallgerüche
Abfallgeschäft	n	Abfallgeschäftes	Abfallgeschäfte
Abfallgesellschaft	f	Abfallgesellschaft	Abfallgesellschaften
Abfallgesetz	n	Abfallgesetzes	Abfallgesetze
Abfallgesetzgebung	f	Abfallgesetzgebung	Abfallgesetzgebungen
Abfallgrube	f	Abfallgrube	Abfallgruben
Abfallhaar	n	Abfallhaares	Abfallhaare
Abfallhalde	f	Abfallhalde	Abfallhalden
Abfallhaufen	m	Abfallhaufens	Abfallhaufen
Abfallheizkraftwerk	n	Abfallheizkraftwerkes	Abfallheizkraftwerke
Abfallholz	n	Abfallholzes	Abfallhölzer
Abfallkalender	m	Abfallkalenders	Abfallkalender
Abfallkatalog	m	Abfallkataloges	Abfallkataloge
Abfallkippe	f	Abfallkippe	Abfallkippen
Abfallkonzept	n	Abfallkonzeptes	Abfallkonzepte
Abfallkonzeption	f	Abfallkonzeption	Abfallkonzeptionen
Abfallkorb	m	Abfallkorbes	Abfallkörbe
Abfallkübel	m	Abfallkübels	Abfallkübel
Abfalllager	n	Abfalllagers	Abfalllager
Abfallleder	n	Abfallleders	Abfallleder
Abfallmanagement	n	Abfallmanagements	Abfallmanagements
Abfallmaterial	n	Abfallmaterials	Abfallmaterialien
Abfallmenge	f	Abfallmenge	Abfallmengen
Abfallofen	m	Abfallofens	Abfallöfen
Abfallpapier	n	Abfallpapiers	Abfallpapiere
Abfallplan	m	Abfallplanes	Abfallpläne
Abfallplatz	m	Abfallplatzes	Abfallplätze
Abfallpolitik	f	Abfallpolitik	Abfallpolitiken
Abfallproblem	n	Abfallproblems	Abfallprobleme
Abfallproblematik	f	Abfallproblematik	Abfallproblematiken
Abfallprodukt	n	Abfallproduktes	Abfallprodukte
Abfallproduzent	m	Abfallproduzenten	Abfallproduzenten
Abfallquote	f	Abfallquote	Abfallquoten
Abfallraum	m	Abfallraumes	Abfallräume
Abfallrecht	n	Abfallrechtes	Abfallrechte
Abfallrecycling	n	Abfallrecyclings	
Abfallreduzierung	f	Abfallreduzierung	Abfallreduzierungen
Abfallreferent	m	Abfallreferenten	Abfallreferenten
Abfallrohr	n	Abfallrohres	Abfallrohre
Abfallsack	m	Abfallsackes	Abfallsäcke
Abfallsackgebühr	f	Abfallsackgebühr	Abfallsackgebühren
Abfallsammelstelle	f	Abfallsammelstelle	Abfallsammelstellen
Abfallsammlung	f	Abfallsammlung	Abfallsammlungen
Abfallsatzung	f	Abfallsatzung	Abfallsatzungen
Abfallschacht	m	Abfallschachtes	Abfallschächte
Abfallschlamm	m	Abfallschlammes	Abfallschlämme
Abfallsituation	f	Abfallsituation	Abfallsituationen
Abfallsorte	f	Abfallsorte	Abfallsorten
Abfallsortieranlage	f	Abfallsortieranlage	Abfallsortieranlagen
Abfallsortierung	f	Abfallsortierung	Abfallsortierungen
Abfallstoff	m	Abfallstoffes	Abfallstoffe
Abfallstrom	m	Abfallstromes	Abfallströme
Abfallstück	n	Abfallstückes	Abfallstücke
Abfallsystem	n	Abfallsystems	Abfallsysteme
Abfallsünder	m	Abfallsünders	Abfallsünder
Abfallsünderin	f	Abfallsünderin	Abfallsünderinnen
Abfalltechnik	f	Abfalltechnik	Abfalltechniken
Abfalltonne	f	Abfalltonne	Abfalltonnen
Abfalltourismus	m	Abfalltourismus	
Abfalltransport	m	Abfalltransportes	Abfalltransporte
Abfalltrennung	f	Abfalltrennung	Abfalltrennungen
Abfalltüte	f	Abfalltüte	Abfalltüten
Abfallunternehmen	n	Abfallunternehmens	Abfallunternehmen
Abfallverband	m	Abfallverbandes	Abfallverbände
Abfallverbrennung	f	Abfallverbrennung	Abfallverbrennungen
Abfallverbrennungsanlage	f	Abfallverbrennungsanlage	Abfallverbrennungsanlagen
Abfallverbringung	f	Abfallverbringung	Abfallverbringungen
Abfallvermeidung	f	Abfallvermeidung	Abfallvermeidungen
Abfallverminderung	f	Abfallverminderung	Abfallverminderungen
Abfallverordnung	f	Abfallverordnung	Abfallverordnungen
Abfallverwerter	m	Abfallverwerters	Abfallverwerter
Abfallverwertung	f	Abfallverwertung	Abfallverwertungen
Abfallverwertungsgesellschaft	f	Abfallverwertungsgesellschaft	Abfallverwertungsgesellschaften
Abfallverzeichnis	n	Abfallverzeichnisses	Abfallverzeichnisse
Abfallvolumen	n	Abfallvolumens	Abfallvolumen
Abfallwirtschaft	f	Abfallwirtschaft	Abfallwirtschaften
Abfallwirtschaftsamt	n	Abfallwirtschaftsamtes	Abfallwirtschaftsämter
Abfallwirtschaftsbetrieb	m	Abfallwirtschaftsbetriebes	Abfallwirtschaftsbetriebe
Abfallwirtschaftsgesellschaft	f	Abfallwirtschaftsgesellschaft	Abfallwirtschaftsgesellschaften
Abfallwirtschaftsgesetz	n	Abfallwirtschaftsgesetzes	Abfallwirtschaftsgesetze
Abfallwirtschaftshof	m	Abfallwirtschaftshofs	Abfallwirtschaftshöfe
Abfallwirtschaftskonzept	n	Abfallwirtschaftskonzeptes	Abfallwirtschaftskonzepte
Abfallwirtschaftskonzeption	f	Abfallwirtschaftskonzeption	Abfallwirtschaftskonzeptionen
Abfallwirtschaftsplan	m	Abfallwirtschaftsplanes	Abfallwirtschaftspläne
Abfallwirtschaftspolitik	f	Abfallwirtschaftspolitik	
Abfallwirtschaftsverbund	m	Abfallwirtschaftsverbundes	Abfallwirtschaftsverbunde
Abfallwärme	f	Abfallwärme	
Abfallzentrum	n	Abfallzentrums	Abfallzentren
Abfallzweckverband	m	Abfallzweckverbandes	Abfallzweckverbände
Abfangaktion	f	Abfangaktion	Abfangaktionen
Abfangbahn	f	Abfangbahn	Abfangbahnen
Abfangdrohne	f	Abfangdrohne	Abfangdrohnen
Abfangen	n	Abfangens	
Abfangjäger	m	Abfangjägers	Abfangjäger
Abfangmanöver	n	Abfangmanövers	Abfangmanöver
Abfangrakete	f	Abfangrakete	Abfangraketen
Abfangsatellit	m	Abfangsatelliten	Abfangsatelliten
Abfassung	f	Abfassung	Abfassungen
Abfassungszeit	f	Abfassungszeit	Abfassungszeiten
Abfasung	f	Abfasung	Abfasungen
Abfederung	f	Abfederung	Abfederungen
Abferkelhütte	f	Abferkelhütte	Abferkelhütten
Abferkelstall	m	Abferkelstalles	Abferkelställe
Abfertigung	f	Abfertigung	Abfertigungen
Abfertigungsanlage	f	Abfertigungsanlage	Abfertigungsanlagen
Abfertigungsbaracke	f	Abfertigungsbaracke	Abfertigungsbaracken
Abfertigungsbeamter	m	Abfertigungsbeamten	Abfertigungsbeamte
Abfertigungsbeamtin	f	Abfertigungsbeamtin	Abfertigungsbeamtinnen
Abfertigungsbereich	m	Abfertigungsbereiches	Abfertigungsbereiche
Abfertigungsdienst	m	Abfertigungsdienstes	Abfertigungsdienste
Abfertigungsgebäude	n	Abfertigungsgebäudes	Abfertigungsgebäude
Abfertigungsgebühr	f	Abfertigungsgebühr	Abfertigungsgebühren
Abfertigungshalle	f	Abfertigungshalle	Abfertigungshallen
Abfertigungskapazität	f	Abfertigungskapazität	Abfertigungskapazitäten
Abfertigungspersonal	n	Abfertigungspersonals	
Abfertigungsschalter	m	Abfertigungsschalters	Abfertigungsschalter
Abfertigungsstelle	f	Abfertigungsstelle	Abfertigungsstellen
Abfertigungszeit	f	Abfertigungszeit	Abfertigungszeiten
Abfett	n	Abfetts	Abfette
Abfeuerung	f	Abfeuerung	Abfeuerungen
Abfilmung	f	Abfilmung	Abfilmungen
Abfiltrieren	n	Abfiltrierens	
Abfindung	f	Abfindung	Abfindungen
Abfindungsangebot	n	Abfindungsangebotes	Abfindungsangebote
Abfindungsanspruch	m	Abfindungsanspruches	Abfindungsansprüche
Abfindungsbetrag	m	Abfindungsbetrages	Abfindungsbeträge
Abfindungserklärung	f	Abfindungserklärung	Abfindungserklärungen
Abfindungsforderung	f	Abfindungsforderung	Abfindungsforderungen
Abfindungsgeld	n	Abfindungsgeldes	Abfindungsgelder
Abfindungsleistung	f	Abfindungsleistung	Abfindungsleistungen
Abfindungsregelung	f	Abfindungsregelung	Abfindungsregelungen
Abfindungssumme	f	Abfindungssumme	Abfindungssummen
Abfindungsverhandlung	f	Abfindungsverhandlung	Abfindungsverhandlungen
Abfindungsvertrag	m	Abfindungsvertrages	Abfindungsverträge
Abfindungszahlung	f	Abfindungszahlung	Abfindungszahlungen
Abfischung	f	Abfischung	Abfischungen
Abflachung	f	Abflachung	Abflachungen
Abfließen	n	Abfließens	
Abflug	m	Abflugs	Abflüge
Abflugbereich	m	Abflugbereiches	Abflugbereiche
Abflugebene	f	Abflugebene	Abflugebenen
Abfluggate	n	Abfluggates	Abfluggates
Abfluggewicht	n	Abfluggewichtes	Abfluggewichte
Abflughafen	m	Abflughafens	Abflughäfen
Abflughalle	f	Abflughalle	Abflughallen
Abflugort	m	Abflugortes	Abflugorte
Abflugroute	f	Abflugroute	Abflugrouten
Abflugschalter	m	Abflugschalters	Abflugschalter
Abflugtag	m	Abflugtages	Abflugtage
Abflugtermin	m	Abflugtermines	Abflugtermine
Abflugterminal		Abflugterminals	Abflugterminals
Abflugzeit	f	Abflugzeit	Abflugzeiten
Abfluss	m	Abflusses	Abflüsse
Abflussbahn	f	Abflussbahn	Abflussbahnen
Abflussbecken	n	Abflussbeckens	Abflussbecken
Abflussbeiwert	m	Abflussbeiwertes	Abflussbeiwerte
Abflussbilanz	f	Abflussbilanz	Abflussbilanzen
Abflussbildung	f	Abflussbildung	Abflussbildungen
Abflussfaktor	m	Abflussfaktors	Abflussfaktoren
Abflussgebiet	n	Abflussgebiets	Abflussgebiete
Abflussgraben	m	Abflussgrabens	Abflussgräben
Abflussgrube	f	Abflussgrube	Abflussgruben
Abflusshahn	m	Abflusshahns	Abflusshähne
Abflusshöhe	f	Abflusshöhe	Abflusshöhen
Abflussjahr	n	Abflussjahres	Abflussjahre
Abflusskanal	m	Abflusskanals	Abflusskanäle
Abflusskoeffizient	m	Abflusskoeffizienten	Abflusskoeffizienten
Abflusskonzentration	f	Abflusskonzentration	Abflusskonzentrationen
Abflusskurve	f	Abflusskurve	Abflusskurven
Abflussleitung	f	Abflussleitung	Abflussleitungen
Abflussloch	n	Abflussloches	Abflusslöcher
Abflussmenge	f	Abflussmenge	Abflussmengen
Abflussmessung	f	Abflussmessung	Abflussmessungen
Abflussprozess	m	Abflussprozesses	Abflussprozesse
Abflussregime	n	Abflussregimes	Abflussregime
Abflussreiniger	m	Abflussreinigers	Abflussreiniger
Abflussrichtung	f	Abflussrichtung	Abflussrichtungen
Abflussrinne	f	Abflussrinne	Abflussrinnen
Abflussrohr	n	Abflussrohres	Abflussrohre
Abflussspende	f	Abflussspende	Abflussspenden
Abflussstampfer	m	Abflussstampfers	Abflussstampfer
Abflusssystem	n	Abflusssystems	Abflusssysteme
Abflussventil	n	Abflussventils	Abflussventile
Abflussverhalten	n	Abflussverhaltens	
Abfolge	f	Abfolge	Abfolgen
Abformung	f	Abformung	Abformungen
Abfrage	f	Abfrage	Abfragen
Abfragemaske	f	Abfragemaske	Abfragemasken
Abfragerei	f	Abfragerei	Abfragereien
Abfragesprache	f	Abfragesprache	Abfragesprachen
Abfressen	n	Abfressens	
Abfuhr	f	Abfuhr	Abfuhren
Abfuhrbezirk	m	Abfuhrbezirkes	Abfuhrbezirke
Abfuhrkalender	m	Abfuhrkalenders	Abfuhrkalender
Abfuhrkosten			Abfuhrkosten
Abfuhrplan	m	Abfuhrplanes	Abfuhrpläne
